speaker,words,timestamp
Jon Hendricks,"That sounded like it must've been a tuba? But I noticed the guy playing drums, he didn't play the old roll, like they played in the authentic stomping music, the old time ragtime. He played on his cymbal and that cymbal had a new sound. It sounded like one of them brand new Zildjians.",00:03:59
Leonard Feather,Yeah.,00:04:22
Jon Hendricks,"And that guy playing, when he brought that cat on the tuba, that was modern riff. Sounds like to me a bunch of modern cats playing Dixieland, but I can't be hip and put it down, because I was stomping with my feet all the way. Four stars.",00:04:23
Leonard Feather,Do you know who it was?,00:04:39
Jon Hendricks,No.,00:04:40
Leonard Feather,"You said who you thought it was? The band, I mean.",00:04:41
Jon Hendricks,The Dukes of Dixieland.,00:04:45
"[Plays ""Eventually"" by Ornette Coleman, from The Shape Of Jazz to Come, Atlantic Records (1959). Personnel: Ornette Coleman: alto saxophone; Don Cherry: trumpet.]",https://www.youtube.com/watch?v=Znw0vu2-7b4,
Jon Hendricks,"Yeah, this is the cats everybody is talking about. Ornette Coleman and Don Cherry. And I think they only use a bass and a set of drums, right? Well, I wouldn't know how to rate this, because for technical skill and getting around their horns, I have to give him five stars. But for singing melodically and putting things together well so that they create a beautiful melody, there isn't that much happening. So, I wouldn't know how to rate it. I'll have to pass on this and let-",00:04:48
Leonard Feather,"You wouldn't agree with the theory that they're doing something entirely new and sensational, and different?",00:05:31
Jon Hendricks,"No, I don't go along with that at all. I don't think that they're doing anything entirely new or sensationally different New, maybe. And certainly different, but not entirely new and not sensationally different.",00:05:37
Leonard Feather,"But, otherwise you don't get any message from it?",00:05:54
Jon Hendricks,"I get it in pieces. I'd have to put it together, before I can understand it, which to me, is not the purpose of what a person plays. You should get the message as he plays it, and be able to put it together at the time, not have to wait till later.",00:06:01
Leonard Feather,"Okay, no further rating?",00:06:14
Jon Hendricks,"No, I can't rate that.",00:06:19
"[Plays ""Salt Peanuts"" by the Nutty Squirrels, from The Nutty Squirrels, Hanover Records (1959). Personnel: Sascha Burland: vocal; Don Elliot: vocal.]",https://www.youtube.com/watch?v=o1j4bRvTbKs,
Jon Hendricks,"Should I make my comment, or?",00:06:25
Leonard Feather,"Yeah, go ahead.",00:06:29
Jon Hendricks,"Sascha Burland and Don Elliott, The Chipmunks. Sascha to me, is an unsung hero, for what he's doing to get jazz on the television, behind all those ads. Commercials. This is very interesting that they pick songs like that. I think it's a wonderful thing. I'm sorry they have to do it like that, speed up the tape and everything. But, if it gets out here and people start hearing it, maybe there'll be a time when they won't have to do it like that. And they can do it the regular way.",00:06:29
Leonard Feather,Yeah.,00:06:59
Jon Hendricks,"Because, they sure can do it. Well, all those cats can scat. Don running those changes is pretty. I'm just sorry they have to do it that way but you know? Mysterious.",00:07:00
Leonard Feather,"It's still good music, isn't it?",00:07:13
Jon Hendricks,Yeah it is.,00:07:15
Leonard Feather,How you rate it?,00:07:17
Jon Hendricks,Yeah.,00:07:21
Leonard Feather,Huh?,00:07:23
Jon Hendricks,Mm-hm.,00:07:23
Leonard Feather,How many stars?,00:07:23
Jon Hendricks,"Oh, that's hard to rate too. Just because I'm glad it's out here, I'll give it four stars.",00:07:24
"[Plays ""Twisted"" by Wardell Gray, from Swedes from Jazzville, Epic Records (1957). Personnel: Aake Persson: trombone.]",,
Jon Hendricks,"What do they want to mess with Wardell's tune like that for? I don't know who they were, but I liked it better the old way. So that spoiled this for me. That was a nice thing, to change the key in the middle of the tune, but it doesn't really add to it.",00:07:34
Leonard Feather,Yeah.,00:07:59
Jon Hendricks,Don't mess with something good.,00:08:01
Leonard Feather,Did any of the soloists make any kind of impression?,00:08:04
Jon Hendricks,"No. Except I was wondering whether that was a valve trombone or what's the name of the trombone? One with the slide. I don't know which was which. I didn't know if it was one of the other. Sounded like it might've been a valve trombone, but they were undistinguished and I don't like the way they mistreated the tune. Did you give the same title to the tune?",00:08:09
Leonard Feather,What title is that?,00:08:29
Jon Hendricks,"Wardell Gray's tune, Twist. Oh, they kept the same title? That's good. Two stars.",00:08:33
"[Plays ""You Got It"" by Cannonball Adderley, from The Cannonball Adderley Quintet in SAn Fransisco, Riverside Records (1960). Cannonball Adderley: alto saxophone; Nat Adderley: cornet.]",https://www.youtube.com/watch?v=5PDatZ35MKo,
Jon Hendricks,"Yeah, Ming the merciful. I was sitting in the workshop on Sunday afternoon, me and Judy, listening to him get this together. And at the rehearsal of the date they were going to do. This is Julian and Nat and Bobby Timmons, Louis Hayes and Sam Jones. Beautiful. Give them the whole constellation.",00:08:47
[Plays unknown song],,
Jon Hendricks,"That impressed me as one of those things where the arranger, or the composer and arranger, if it's both, is the one most known on that kind of date. It's one of the terms that jazz has taken, whoever writes or arranges is the focal man on the date. And not the people playing. And it was effective, in that it had a lot of effects in it, but I wasn't very moved by it. And I'd rather hear the one we just heard, moved me much more than that. I was able to respond more.",00:09:23
Jon Hendricks,"This is good for listening to something effective, but that didn't give me any particular thrill. It didn't thrill me. As far as the writing goes, I'm sure it's very good. I can't even make any kind of comment on that, because I don't know anything about that. But speaking just as the listener, and a non-reading non-playing listener, it's good, but it didn't kill me.",00:10:00
Leonard Feather,Yeah.,00:10:20
Jon Hendricks,Give it a three stars.,00:10:22
